draw_id,draw_time,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20
1211757,1752710100000,40,12,22,20,36,25,30,59,6,43,63,15,61,78,38,27,73,50,70,4
1211756,1752709800000,35,56,46,6,15,17,79,23,4,70,27,10,33,32,39,77,22,64,24,55
1211755,1752709500000,74,23,48,35,58,3,70,33,2,42,7,39,21,13,19,1,26,11,41,47
1211754,1752709200000,17,21,39,65,35,2,10,36,49,24,63,42,18,44,43,8,50,13,68,28
1211753,1752708900000,78,5,69,59,68,55,10,71,50,17,49,8,16,65,36,20,64,7,21,73
1211752,1752708600000,32,50,42,18,53,26,31,72,6,74,34,68,36,60,9,56,64,14,3,65
1211751,1752708300000,77,16,79,12,36,30,41,57,52,26,28,9,65,39,5,38,14,34,43,31
1211750,1752708000000,33,54,6,17,64,7,2,43,10,3,76,78,53,73,21,55,32,14,74,12
1211749,1752707700000,53,10,72,68,2,29,25,21,6,77,44,30,11,17,51,31,35,67,24,47
1211748,1752707400000,35,44,54,66,71,50,8,22,59,31,14,27,3,5,1,28,57,33,18,74
