feature,importance
sum_total,0.02782173135014714
num_8,0.02326500837205712
num_4,0.02074069744244762
num_14,0.02023584524879956
gap_1,0.016950526511553567
gap_17,0.01617467716341401
gap_43,0.01613005662196118
std_deviation,0.015386284082775705
num_12,0.015281798243589313
num_5,0.01499113374179158
gap_18,0.01452404087678198
gap_34,0.01357973787764144
odd_count,0.013121645439670569
num_1,0.013034639232665996
num_13,0.012609150117950113
num_19,0.012368718964740509
gap_9,0.012191696827455648
gap_65,0.011725135346269405
gap_63,0.011710296812564169
gap_61,0.011616992902749902
gap_50,0.011509848405590762
num_7,0.011471957596333071
gap_5,0.011337830399257964
num_16,0.01128697688721953
gap_23,0.0111959441134926
num_10,0.011187020686601037
num_11,0.01064395342279191
num_15,0.00983167042705019
gap_41,0.009681017680812205
num_17,0.009657494623585818
num_3,0.009515144988402486
gap_13,0.009395137882994117
num_2,0.009203087970523003
gap_70,0.009169903563719132
gap_3,0.009056532981876524
gap_56,0.008769466800050663
gap_26,0.008615259297346524
gap_35,0.008273479895211756
low_numbers_count,0.0081703694446569
num_18,0.008137065053586115
gap_24,0.008088265719811659
gap_14,0.007875955451910343
gap_75,0.007853736257676287
gap_53,0.0077106681672497075
gap_76,0.007602626615438173
gap_28,0.007601901217473288
gap_54,0.007547893463999264
gap_68,0.00751355054960332
gap_16,0.007461903843855544
gap_4,0.007434321873485957
gap_32,0.007430698188707001
gap_30,0.007399804439178655
num_20,0.007380747364850739
gap_59,0.007291143132228869
gap_64,0.006875260479313384
gap_55,0.006813609338424026
gap_40,0.00681200030835485
gap_10,0.006797644524889204
gap_6,0.006631694871051654
consecutive_count,0.00660432398677148
gap_12,0.006518906031502993
gap_51,0.006415816368908306
gap_60,0.006400690317157205
gap_58,0.006363155821755509
gap_15,0.006140764047239211
even_count,0.00612567038478014
most_common_hits,0.006104908972927065
gap_47,0.0058932931944550284
gap_46,0.005470665232605806
freq_46,0.00536750000002728
gap_74,0.005349316872224411
freq_80,0.0053492263758983
gap_39,0.00511708505247623
num_9,0.005099884940384372
gap_22,0.004820803701593581
gap_21,0.004790866224333052
gap_25,0.004773467280909493
gap_29,0.004769555002386057
freq_13,0.00471344564529409
gap_69,0.004709595775873227
freq_78,0.004669244095090746
gap_20,0.004546474365655235
gap_73,0.004508595894635632
gap_38,0.004490887887499332
gap_80,0.004482509383978319
gap_8,0.004440365632984495
gap_19,0.004340903088012867
gap_45,0.004193389365069719
gap_66,0.004185938353782429
gap_44,0.004155212419858634
gap_52,0.00414021227136226
gap_42,0.004068057525510053
gap_2,0.004032483475138431
gap_48,0.003997182406049245
unique_modulo_10,0.003953582878073604
gap_78,0.003917119071268604
gap_79,0.0038211941614029687
num_6,0.0037852757579065394
freq_49,0.0037613775546696533
high_numbers_count,0.0036490720545190904
gap_67,0.0036278650476604096
gap_11,0.0036230106015540373
gap_37,0.0035995956605237613
freq_12,0.003575896767480512
gap_27,0.003446959212637736
gap_72,0.0034029536567724396
freq_76,0.0033428201284282223
freq_48,0.0032075598927425986
freq_77,0.0031716549878410072
freq_68,0.0031234798730492065
gap_57,0.003080217027608213
freq_36,0.0030536003565302936
freq_20,0.002955605799751605
freq_22,0.0028898041816248178
gap_31,0.0028142937535471303
gap_49,0.0028118283785220975
gap_33,0.0027759569481086233
freq_39,0.002750660804373351
freq_42,0.0027076656507619284
gap_62,0.0026903085325496474
freq_43,0.0026506061576791994
freq_67,0.002643459065141464
freq_37,0.002582683360569065
freq_3,0.0025054431771060707
freq_2,0.0024719016498707704
freq_19,0.002443327055340043
freq_51,0.0023880507475065927
freq_26,0.002313290608438873
gap_7,0.002280408922981447
repeats_from_last_draw,0.002251846584401944
freq_72,0.002221472861337383
freq_45,0.002138941459132701
freq_70,0.0021237863161484094
freq_73,0.0020755246313401395
gap_71,0.0020491006386726294
freq_62,0.001996258016939793
freq_74,0.0019762192017907442
freq_44,0.001957643199055399
freq_41,0.0018330686036717885
freq_15,0.0017508463914398342
freq_57,0.0017331717332395025
freq_65,0.0016793687088933228
freq_54,0.0015230990834480091
freq_27,0.0015192653634351467
freq_79,0.0015115000893841952
freq_4,0.0014786324465151605
freq_38,0.0014734924594200234
freq_71,0.0014542167642294234
gap_36,0.0014479301698422256
freq_23,0.0014402852049910874
gap_77,0.0014255372754234474
freq_18,0.0014200158272136675
freq_59,0.0014012663542760672
freq_21,0.0013073424164504125
freq_25,0.0011944171202483223
freq_69,0.0011696381090007366
freq_63,0.0011275745759616726
freq_60,0.0011203840477574112
freq_7,0.0011138106570229367
freq_40,0.0010961292688528293
freq_9,0.001091940434455799
freq_33,0.0010819961759504244
freq_28,0.0009811616182649416
freq_29,0.0009786529258360244
freq_35,0.0009204114414493097
freq_55,0.0008775867739089242
freq_75,0.0008764886697810142
freq_34,0.0008267726014204891
freq_53,0.0007227824947461629
freq_32,0.0007156143810755354
freq_5,0.0007040688919390894
freq_1,0.0007031511368790816
freq_24,0.0006902708248728711
freq_14,0.0006473636352184785
freq_16,0.0005580592247258914
freq_10,0.00045008912655971484
freq_64,0.0004068206229860364
freq_8,0.00038594944150499756
freq_66,0.0003811896135265701
freq_58,0.0003659420289855072
freq_56,0.0003198902027027027
freq_31,0.00030495169082125597
freq_47,0.00022871376811594202
freq_52,0.00010701871043427072
freq_17,0.0
freq_6,0.0
freq_30,0.0
freq_11,0.0
freq_50,0.0
freq_61,0.0
